

TIME =   1.000e+00

Nodal Displacements

 Node          U1          U2          U3
    1  -9.460e-02   0.000e+00   0.000e+00
    2  -9.466e-02   0.000e+00   0.000e+00
    3  -9.020e-02   0.000e+00  -6.230e-05
    4  -9.017e-02   0.000e+00  -1.586e-04
    5  -9.390e-02   0.000e+00  -1.600e-04
    6  -9.266e-02   0.000e+00  -1.588e-04
    7  -9.189e-02   0.000e+00  -1.550e-04
    8  -9.135e-02   0.000e+00  -1.544e-04
    9  -9.090e-02   0.000e+00  -1.528e-04
   10  -9.047e-02   0.000e+00  -1.564e-04
   11  -9.008e-02   0.000e+00  -1.530e-04
   12  -9.004e-02   0.000e+00  -1.010e-04
   13  -9.043e-02   0.000e+00  -9.194e-05
   14  -9.086e-02   0.000e+00  -8.912e-05
   15  -9.131e-02   0.000e+00  -8.205e-05
   16  -9.185e-02   0.000e+00  -6.391e-05
   17  -9.261e-02   0.000e+00  -1.744e-05
   18  -9.385e-02   0.000e+00   7.248e-05
   19  -9.061e-02   7.961e-04   0.000e+00
   20  -8.066e-02   3.027e-03   0.000e+00
   21  -6.799e-02   7.468e-03   0.000e+00
   22  -5.434e-02   1.429e-02   0.000e+00
   23  -4.087e-02   2.332e-02   0.000e+00
   24  -2.857e-02   3.408e-02   0.000e+00
   25  -1.819e-02   4.578e-02   0.000e+00
   26  -1.023e-02   5.743e-02   0.000e+00
   27  -4.826e-03   6.795e-02   0.000e+00
   28  -1.737e-03   7.631e-02   0.000e+00
   29  -3.987e-04   8.168e-02   0.000e+00
   30   0.000e+00   8.353e-02   0.000e+00
   31  -9.049e-02  -3.956e-04   0.000e+00
   32  -8.021e-02   1.287e-03   0.000e+00
   33  -6.718e-02   5.491e-03   0.000e+00
   34  -5.318e-02   1.226e-02   0.000e+00
   35  -3.941e-02   2.140e-02   0.000e+00
   36  -2.689e-02   3.240e-02   0.000e+00
   37  -1.643e-02   4.444e-02   0.000e+00
   38  -8.558e-03   5.648e-02   0.000e+00
   39  -3.397e-03   6.738e-02   0.000e+00
   40  -6.965e-04   7.605e-02   0.000e+00
   41   1.482e-04   8.164e-02   0.000e+00
   42   0.000e+00   8.356e-02   0.000e+00
   43  -9.006e-02  -3.353e-04  -9.631e-05
   44  -8.016e-02   1.272e-03  -4.211e-06
   45  -6.725e-02   5.440e-03   3.569e-05
   46  -5.324e-02   1.221e-02   4.234e-05
   47  -3.944e-02   2.137e-02   3.257e-05
   48  -2.690e-02   3.239e-02   1.903e-05
   49  -1.643e-02   4.445e-02   7.705e-06
   50  -8.554e-03   5.649e-02   4.947e-07
   51  -3.395e-03   6.739e-02  -2.971e-06
   52  -6.959e-04   7.606e-02  -4.312e-06
   53   1.481e-04   8.164e-02  -5.119e-06
   54   0.000e+00   8.356e-02  -5.888e-06
   55  -8.927e-02  -2.505e-04  -1.009e-04
   56  -8.007e-02   1.233e-03   3.927e-06
   57  -6.745e-02   5.290e-03   6.605e-05
   58  -5.344e-02   1.206e-02   7.850e-05
   59  -3.955e-02   2.127e-02   6.207e-05
   60  -2.694e-02   3.236e-02   3.747e-05
   61  -1.643e-02   4.446e-02   1.600e-05
   62  -8.547e-03   5.652e-02   1.775e-06
   63  -3.390e-03   6.742e-02  -5.493e-06
   64  -6.948e-04   7.608e-02  -8.308e-06
   65   1.483e-04   8.165e-02  -9.261e-06
   66   0.000e+00   8.358e-02  -1.039e-05
   67  -8.875e-02  -2.275e-04  -1.062e-04
   68  -8.006e-02   1.153e-03  -9.682e-06
   69  -6.772e-02   5.096e-03   6.436e-05
   70  -5.371e-02   1.185e-02   8.986e-05
   71  -3.971e-02   2.114e-02   7.869e-05
   72  -2.700e-02   3.231e-02   5.143e-05
   73  -1.644e-02   4.448e-02   2.369e-05
   74  -8.537e-03   5.657e-02   3.636e-06
   75  -3.382e-03   6.747e-02  -7.370e-06
   76  -6.927e-04   7.612e-02  -1.186e-05
   77   1.479e-04   8.167e-02  -1.339e-05
   78   0.000e+00   8.359e-02  -1.466e-05
   79  -8.838e-02  -2.208e-04  -1.150e-04
   80  -8.004e-02   1.084e-03  -2.671e-05
   81  -6.793e-02   4.930e-03   5.384e-05
   82  -5.396e-02   1.165e-02   9.256e-05
   83  -3.988e-02   2.099e-02   9.025e-05
   84  -2.707e-02   3.225e-02   6.388e-05
   85  -1.646e-02   4.450e-02   3.211e-05
   86  -8.529e-03   5.663e-02   6.984e-06
   87  -3.374e-03   6.752e-02  -7.955e-06
   88  -6.902e-04   7.616e-02  -1.465e-05
   89   1.473e-04   8.170e-02  -1.697e-05
   90   0.000e+00   8.361e-02  -1.824e-05
   91  -8.804e-02  -2.148e-04  -1.181e-04
   92  -7.997e-02   1.038e-03  -3.701e-05
   93  -6.808e-02   4.800e-03   4.412e-05
   94  -5.418e-02   1.148e-02   9.133e-05
   95  -4.006e-02   2.084e-02   9.651e-05
   96  -2.716e-02   3.217e-02   7.257e-05
   97  -1.648e-02   4.449e-02   3.898e-05
   98  -8.525e-03   5.667e-02   1.017e-05
   99  -3.367e-03   6.759e-02  -7.892e-06
  100  -6.883e-04   7.621e-02  -1.617e-05
  101   1.467e-04   8.173e-02  -1.937e-05
  102   0.000e+00   8.363e-02  -2.070e-05
  103  -8.771e-02  -2.042e-04  -1.223e-04
  104  -7.986e-02   1.011e-03  -4.617e-05
  105  -6.817e-02   4.702e-03   3.462e-05
  106  -5.436e-02   1.133e-02   8.645e-05
  107  -4.022e-02   2.069e-02   9.788e-05
  108  -2.726e-02   3.208e-02   7.799e-05
  109  -1.652e-02   4.448e-02   4.512e-05
  110  -8.533e-03   5.671e-02   1.517e-05
  111  -3.369e-03   6.763e-02  -4.050e-06
  112  -6.930e-04   7.624e-02  -1.317e-05
  113   1.426e-04   8.174e-02  -1.757e-05
  114   0.000e+00   8.364e-02  -2.004e-05
  115  -8.740e-02  -1.912e-04  -1.193e-04
  116  -7.973e-02   9.971e-04  -4.709e-05
  117  -6.822e-02   4.631e-03   3.031e-05
  118  -5.451e-02   1.120e-02   8.251e-05
  119  -4.037e-02   2.056e-02   9.659e-05
  120  -2.736e-02   3.200e-02   7.896e-05
  121  -1.656e-02   4.445e-02   4.691e-05
  122  -8.548e-03   5.673e-02   1.664e-05
  123  -3.377e-03   6.766e-02  -3.600e-06
  124  -7.023e-04   7.625e-02  -1.352e-05
  125   1.353e-04   8.174e-02  -1.694e-05
  126   0.000e+00   8.363e-02  -2.233e-05
  127  -8.753e-02  -2.392e-04  -5.566e-05
  128  -7.993e-02   8.982e-04   1.621e-06
  129  -6.848e-02   4.480e-03   6.345e-05
  130  -5.475e-02   1.104e-02   9.889e-05
  131  -4.052e-02   2.045e-02   9.697e-05
  132  -2.739e-02   3.199e-02   6.523e-05
  133  -1.651e-02   4.457e-02   2.177e-05
  134  -8.450e-03   5.695e-02  -1.707e-05
  135  -3.283e-03   6.794e-02  -4.332e-05
