

TIME =   1.000e-02

Nodal Displacements

 Node          U1          U2          U3
    1  -7.138e-01   0.000e+00   0.000e+00
    2  -7.138e-01   0.000e+00   0.000e+00
    3  -7.196e-01   0.000e+00   7.665e-04
    4  -7.196e-01   0.000e+00  -5.234e-04
    5  -7.139e-01   0.000e+00   1.598e-05
    6  -7.139e-01   0.000e+00   3.203e-05
    7  -7.139e-01   0.000e+00   4.817e-05
    8  -7.140e-01   0.000e+00   6.427e-05
    9  -7.140e-01   0.000e+00   7.995e-05
   10  -7.141e-01   0.000e+00   9.442e-05
   11  -7.142e-01   0.000e+00   1.063e-04
   12  -7.142e-01   0.000e+00   1.138e-04
   13  -7.142e-01   0.000e+00   1.151e-04
   14  -7.142e-01   0.000e+00   1.102e-04
   15  -7.141e-01   0.000e+00   1.032e-04
   16  -7.139e-01   0.000e+00   1.066e-04
   17  -7.139e-01   0.000e+00   1.438e-04
   18  -7.145e-01   0.000e+00   2.505e-04
   19  -7.162e-01   0.000e+00   4.561e-04
   20  -7.162e-01   0.000e+00  -2.503e-04
   21  -7.145e-01   0.000e+00  -3.612e-05
   22  -7.139e-01   0.000e+00   8.766e-05
   23  -7.139e-01   0.000e+00   1.413e-04
   24  -7.141e-01   0.000e+00   1.502e-04
   25  -7.142e-01   0.000e+00   1.378e-04
   26  -7.142e-01   0.000e+00   1.188e-04
   27  -7.142e-01   0.000e+00   1.003e-04
   28  -7.142e-01   0.000e+00   8.460e-05
   29  -7.141e-01   0.000e+00   7.143e-05
   30  -7.140e-01   0.000e+00   5.970e-05
   31  -7.139e-01   0.000e+00   4.840e-05
   32  -7.139e-01   0.000e+00   3.691e-05
   33  -7.139e-01   0.000e+00   2.497e-05
   34  -7.139e-01   0.000e+00   1.261e-05
   35  -7.102e-01  -9.543e-04   0.000e+00
   36  -6.992e-01  -1.102e-03   0.000e+00
   37  -6.811e-01   3.439e-04   0.000e+00
   38  -6.562e-01   4.133e-03   0.000e+00
   39  -6.252e-01   1.096e-02   0.000e+00
   40  -5.886e-01   2.143e-02   0.000e+00
   41  -5.472e-01   3.608e-02   0.000e+00
   42  -5.018e-01   5.530e-02   0.000e+00
   43  -4.535e-01   7.937e-02   0.000e+00
   44  -4.032e-01   1.084e-01   0.000e+00
   45  -3.521e-01   1.424e-01   0.000e+00
   46  -3.013e-01   1.810e-01   0.000e+00
   47  -2.519e-01   2.240e-01   0.000e+00
   48  -2.049e-01   2.706e-01   0.000e+00
   49  -1.613e-01   3.202e-01   0.000e+00
   50  -1.220e-01   3.718e-01   0.000e+00
   51  -8.762e-02   4.242e-01   0.000e+00
   52  -5.865e-02   4.764e-01   0.000e+00
   53  -3.534e-02   5.269e-01   0.000e+00
   54  -1.780e-02   5.744e-01   0.000e+00
   55  -5.770e-03   6.174e-01   0.000e+00
   56   8.619e-04   6.539e-01   0.000e+00
   57   3.125e-03   6.818e-01   0.000e+00
   58   0.000e+00   6.943e-01   0.000e+00
   59  -7.102e-01  -9.542e-04   1.608e-05
   60  -6.992e-01  -1.102e-03   1.631e-05
   61  -6.811e-01   3.439e-04   1.652e-05
   62  -6.563e-01   4.133e-03   1.646e-05
   63  -6.252e-01   1.096e-02   1.581e-05
   64  -5.886e-01   2.143e-02   1.417e-05
   65  -5.472e-01   3.608e-02   1.110e-05
   66  -5.018e-01   5.530e-02   6.167e-06
   67  -4.535e-01   7.937e-02  -1.090e-06
   68  -4.032e-01   1.084e-01  -1.111e-05
   69  -3.521e-01   1.424e-01  -2.426e-05
   70  -3.013e-01   1.810e-01  -4.088e-05
   71  -2.519e-01   2.240e-01  -6.111e-05
   72  -2.049e-01   2.707e-01  -8.495e-05
   73  -1.613e-01   3.203e-01  -1.117e-04
   74  -1.219e-01   3.719e-01  -1.402e-04
   75  -8.748e-02   4.244e-01  -1.669e-04
   76  -5.846e-02   4.766e-01  -1.868e-04
   77  -3.515e-02   5.271e-01  -1.875e-04
   78  -1.759e-02   5.746e-01  -1.550e-04
   79  -5.711e-03   6.174e-01  -4.221e-05
   80   9.472e-04   6.535e-01   1.703e-04
   81   2.522e-03   6.798e-01   7.502e-04
   82   0.000e+00   6.898e-01   1.366e-03
   83  -7.102e-01  -9.539e-04   3.222e-05
   84  -6.992e-01  -1.102e-03   3.267e-05
   85  -6.811e-01   3.437e-04   3.307e-05
   86  -6.563e-01   4.131e-03   3.292e-05
   87  -6.253e-01   1.095e-02   3.154e-05
   88  -5.887e-01   2.142e-02   2.815e-05
   89  -5.473e-01   3.607e-02   2.188e-05
   90  -5.019e-01   5.528e-02   1.181e-05
   91  -4.536e-01   7.935e-02  -2.968e-06
   92  -4.033e-01   1.084e-01  -2.326e-05
   93  -3.522e-01   1.424e-01  -4.978e-05
   94  -3.013e-01   1.810e-01  -8.299e-05
   95  -2.518e-01   2.240e-01  -1.230e-04
   96  -2.048e-01   2.708e-01  -1.693e-04
   97  -1.611e-01   3.205e-01  -2.202e-04
   98  -1.216e-01   3.722e-01  -2.718e-04
   99  -8.707e-02   4.248e-01  -3.177e-04
  100  -5.796e-02   4.771e-01  -3.440e-04
  101  -3.459e-02   5.278e-01  -3.333e-04
