

TIME =   1.000e-01

Nodal Displacements

 Node          U1          U2          U3
    1   8.509e-01   0.000e+00   0.000e+00
    2   8.515e-01   0.000e+00  -7.065e-03
    3   8.994e-03   0.000e+00  -4.449e-01
    4   8.237e-03   0.000e+00  -4.447e-01
    5   7.205e-01   0.000e+00  -2.300e-02
    6   6.053e-01   0.000e+00  -4.508e-02
    7   5.055e-01   0.000e+00  -7.150e-02
    8   4.188e-01   0.000e+00  -1.013e-01
    9   3.434e-01   0.000e+00  -1.334e-01
   10   2.782e-01   0.000e+00  -1.670e-01
   11   2.223e-01   0.000e+00  -2.013e-01
   12   1.747e-01   0.000e+00  -2.355e-01
   13   1.347e-01   0.000e+00  -2.691e-01
   14   1.015e-01   0.000e+00  -3.014e-01
   15   7.438e-02   0.000e+00  -3.321e-01
   16   5.279e-02   0.000e+00  -3.606e-01
   17   3.604e-02   0.000e+00  -3.866e-01
   18   2.357e-02   0.000e+00  -4.095e-01
   19   1.484e-02   0.000e+00  -4.288e-01
   20   7.194e-01   0.000e+00  -1.669e-02
   21   6.040e-01   0.000e+00  -3.964e-02
   22   5.041e-01   0.000e+00  -6.679e-02
   23   4.172e-01   0.000e+00  -9.716e-02
   24   3.417e-01   0.000e+00  -1.298e-01
   25   2.765e-01   0.000e+00  -1.639e-01
   26   2.206e-01   0.000e+00  -1.986e-01
   27   1.730e-01   0.000e+00  -2.333e-01
   28   1.330e-01   0.000e+00  -2.672e-01
   29   9.985e-02   0.000e+00  -2.999e-01
   30   7.286e-02   0.000e+00  -3.309e-01
   31   5.139e-02   0.000e+00  -3.597e-01
   32   3.478e-02   0.000e+00  -3.858e-01
   33   2.248e-02   0.000e+00  -4.089e-01
   34   1.394e-02   0.000e+00  -4.284e-01
   35   8.277e-01  -6.048e-04  -1.345e-02
   36   7.704e-01  -1.107e-02  -4.963e-02
   37   6.946e-01  -3.449e-02  -1.028e-01
   38   6.078e-01  -7.247e-02  -1.689e-01
   39   5.162e-01  -1.251e-01  -2.443e-01
   40   4.245e-01  -1.914e-01  -3.257e-01
   41   3.367e-01  -2.695e-01  -4.098e-01
   42   2.562e-01  -3.570e-01  -4.936e-01
   43   1.853e-01  -4.506e-01  -5.745e-01
   44   1.256e-01  -5.469e-01  -6.500e-01
   45   7.813e-02  -6.419e-01  -7.178e-01
   46   4.291e-02  -7.317e-01  -7.759e-01
   47   1.927e-02  -8.121e-01  -8.227e-01
   48   5.812e-03  -8.785e-01  -8.568e-01
   49   2.101e-04  -9.271e-01  -8.771e-01
   50   0.000e+00  -9.466e-01  -8.836e-01
   51   8.285e-01  -2.576e-03  -2.001e-02
   52   7.715e-01  -1.401e-02  -5.522e-02
   53   6.961e-01  -3.804e-02  -1.073e-01
   54   6.098e-01  -7.633e-02  -1.723e-01
   55   5.187e-01  -1.290e-01  -2.466e-01
   56   4.274e-01  -1.952e-01  -3.268e-01
   57   3.400e-01  -2.731e-01  -4.097e-01
   58   2.598e-01  -3.601e-01  -4.925e-01
   59   1.890e-01  -4.532e-01  -5.723e-01
   60   1.294e-01  -5.489e-01  -6.467e-01
   61   8.173e-02  -6.434e-01  -7.135e-01
   62   4.622e-02  -7.326e-01  -7.707e-01
   63   2.214e-02  -8.124e-01  -8.167e-01
   64   8.068e-03  -8.784e-01  -8.501e-01
   65   1.734e-03  -9.265e-01  -8.697e-01
   66   0.000e+00  -9.459e-01  -8.759e-01
   67   7.042e-01  -1.648e-03  -3.456e-02
   68   6.607e-01  -1.013e-02  -6.718e-02
   69   5.992e-01  -2.933e-02  -1.168e-01
   70   5.269e-01  -6.095e-02  -1.795e-01
   71   4.491e-01  -1.054e-01  -2.519e-01
   72   3.704e-01  -1.620e-01  -3.306e-01
   73   2.945e-01  -2.292e-01  -4.125e-01
   74   2.244e-01  -3.047e-01  -4.947e-01
   75   1.625e-01  -3.856e-01  -5.743e-01
   76   1.104e-01  -4.688e-01  -6.489e-01
   77   6.888e-02  -5.508e-01  -7.162e-01
   78   3.812e-02  -6.276e-01  -7.743e-01
   79   1.755e-02  -6.955e-01  -8.213e-01
   80   5.845e-03  -7.504e-01  -8.559e-01
   81   9.562e-04  -7.877e-01  -8.769e-01
   82   0.000e+00  -8.013e-01  -8.840e-01
   83   5.932e-01  -1.270e-03  -5.547e-02
   84   5.596e-01  -7.782e-03  -8.537e-02
   85   5.101e-01  -2.307e-02  -1.317e-01
   86   4.504e-01  -4.898e-02  -1.911e-01
   87   3.849e-01  -8.606e-02  -2.604e-01
   88   3.180e-01  -1.338e-01  -3.362e-01
   89   2.530e-01  -1.910e-01  -4.155e-01
   90   1.927e-01  -2.555e-01  -4.955e-01
   91   1.392e-01  -3.249e-01  -5.733e-01
   92   9.424e-02  -3.962e-01  -6.465e-01
   93   5.847e-02  -4.662e-01  -7.128e-01
   94   3.210e-02  -5.315e-01  -7.702e-01
   95   1.462e-02  -5.884e-01  -8.169e-01
   96   4.826e-03  -6.334e-01  -8.514e-01
   97   8.152e-04  -6.628e-01  -8.727e-01
   98   0.000e+00  -6.731e-01  -8.798e-01
   99   4.962e-01  -9.874e-04  -8.089e-02
  100   4.699e-01  -6.057e-03  -1.081e-01
  101   4.301e-01  -1.827e-02  -1.509e-01
  102   3.809e-01  -3.938e-02  -2.064e-01
  103   3.265e-01  -7.005e-02  -2.715e-01
  104   2.701e-01  -1.100e-01  -3.433e-01
  105   2.150e-01  -1.581e-01  -4.188e-01
  106   1.637e-01  -2.127e-01  -4.953e-01
  107   1.182e-01  -2.716e-01  -5.700e-01
  108   7.977e-02  -3.321e-01  -6.405e-01
  109   4.930e-02  -3.914e-01  -7.045e-01
  110   2.692e-02  -4.463e-01  -7.600e-01
  111   1.219e-02  -4.939e-01  -8.052e-01
  112   4.010e-03  -5.309e-01  -8.388e-01
  113   6.937e-04  -5.547e-01  -8.594e-01
  114   0.000e+00  -5.629e-01  -8.664e-01
  115   4.115e-01  -7.770e-04  -1.097e-01
  116   3.907e-01  -4.758e-03  -1.343e-01
  117   3.587e-01  -1.450e-02  -1.734e-01
  118   3.187e-01  -3.161e-02  -2.244e-01
  119   2.737e-01  -5.676e-02  -2.848e-01
  120   2.269e-01  -8.983e-02  -3.518e-01
  121   1.808e-01  -1.299e-01  -4.226e-01
  122   1.376e-01  -1.756e-01  -4.945e-01
  123   9.922e-02  -2.250e-01  -5.650e-01
  124   6.684e-02  -2.758e-01  -6.317e-01
